College Name,URL,Acceptance Rate,Regular Application Due,SAT Range,ACT Range,High School GPA,High School Rank,SAT/ACT Scores,Recommendations,Application Fee,Application Types Accepted,Graduation Rate,Majors Available,Student to Faculty Ratio,Retention Rate,Majors and Degrees,Setting,Undergraduate Students,Average per Year for Campus Housing,Sports,First Years in College Housing,Housing Options,Activities,Student Body
Saint Peters University,https://bigfuture.collegeboard.org/colleges/saint-peters-university,93%,Not available,970–1150*,Not available*,Required,Considered but not required,Required for some,Recommended,,,58%,65,,72%,"The college offers the following degrees: Associate, Bachelor's, Master's, Certificate, and Doctoral",Urban,"1,939",,Intercollegiate and Intramural,,Coed HousingSpecial Housing For Disabled StudentsWellness Housing (alcohol/drug/smoke-free),Army ROTCCampus MinistriesChoral GroupsDanceDrama/TheaterInternational Student OrganizationLiterary MagazineModel UNMusical TheaterRadio StationStudent GovernmentStudent NewspaperYearbook,"Total Undergrad Students1,939Total Graduate Students1,572Full-Time Students1,848Part-Time Students248Race and EthnicityBlack or African American18%Asian8%Hispanic or Latino41%MultiracialLess than 1%Native AmericanNot ReportedPacific IslanderLess than 1%Unknown3%White24%International (Non-Citizen)7%Student Primary ResidenceOut-of-State13%"
Glenville State University,https://bigfuture.collegeboard.org/colleges/glenville-state-university,100%,Not available,850–1020*,16–22*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own websiteCommon ApplicationOther,45%,23,,68%,"The college offers the following degrees: Certificate, Associate, Bachelor's, and Master's",Rural,"1,184",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsMen's HousingSpecial Housing For Disabled StudentsWellness Housing (alcohol/drug/smoke-free)Women's Housing,Campus MinistriesChoral GroupsConcert BandDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterPep BandStudent GovernmentStudent Newspaper,"Total Undergrad Students1,184Total Graduate StudentsNot availableFull-Time Students995Part-Time Students562Race and EthnicityBlack or African American15%Asian1%Hispanic or Latino3%MultiracialLess than 1%Native American2%Pacific IslanderNot ReportedUnknown4%White74%International (Non-Citizen)2%Student Primary ResidenceOut-of-State17%"
Troy University,https://bigfuture.collegeboard.org/colleges/troy-university,93%,Not available,935–1150*,Not available*,Required,Neither required nor recommended,Considered if submitted,Neither required nor recommended,,Online through college's own website,51%,55,,73%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Rural,"10,089",,"Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingSpecial Housing For International StudentsWellness Housing (alcohol/drug/smoke-free)Women's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students10,089Total Graduate Students3,455Full-Time Students6,977Part-Time Students3,415Race and EthnicityBlack or African American32%Asian1%Hispanic or Latino5%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White53%International (Non-Citizen)3%Student Primary ResidenceOut-of-State27%"
Monroe County Community College,https://bigfuture.collegeboard.org/colleges/monroe-county-community-college,100%,Not available,910–1090*,17–22*,Not available,Not available,Not available,Not available,,Online through college's own website,Not available,25,,57%,The college offers the following degrees: Certificate and Associate,Rural,"1,845",,Club,,,Campus MinistriesChoral GroupsDanceMusic EnsemblesMusical TheaterOperaRadio StationSymphony Orchestra,"Total Undergrad Students1,845Total Graduate StudentsNot availableFull-Time Students570Part-Time Students1,958Race and EthnicityBlack or African American4%Asian1%Hispanic or Latino4%Multiracial3%Native American1%Pacific IslanderLess than 1%Unknown6%White82%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State2%"
Calvary University,https://bigfuture.collegeboard.org/colleges/calvary-university,100%,Not available,870–1370*,Not available*,Required,Considered but not required,Required,Required,,Online through college's own website,37%,26,,81%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Suburban,216,,Intercollegiate and Intramural,,Apartments For Married StudentsApartments For Single StudentsMen's HousingWomen's Housing,Army ROTCChoral GroupsDrama/TheaterInternational Student OrganizationMarching BandModel UNMusic EnsemblesMusical TheaterPep BandStudent Government,Total Undergrad Students216Total Graduate Students95Full-Time Students177Part-Time Students48Race and EthnicityBlack or African American7%AsianLess than 1%Hispanic or Latino2%Multiracial3%Native AmericanLess than 1%Pacific Islander3%Unknown3%White80%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-StateNot Reported
Bluefield State University,https://bigfuture.collegeboard.org/colleges/bluefield-state-university,97%,Not available,880–1110*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,31%,17,,61%,The college offers the following degrees: Associate and Bachelor's,Suburban,Not available,,"Intercollegiate, Intramural and NCAA Division II",,,Campus MinistriesDanceFilmInternational Student OrganizationLiterary MagazineMusic EnsemblesMusical TheaterOperaStudent NewspaperSymphony OrchestraTelevision Station,Total Undergrad StudentsNot availableTotal Graduate StudentsNot availableFull-Time StudentsNot availablePart-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State3%
Montclair State University,https://bigfuture.collegeboard.org/colleges/montclair-state-university,87%,Not available,1010–1210*,Not available*,Required,Considered but not required,Considered if submitted,Recommended,,Online through college's own websiteCommon Application,67%,83,,80%,"The college offers the following degrees: Certificate, Bachelor's, Master's, and Doctoral",Suburban,"17,677",,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme HousingWomen's Housing,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students17,677Total Graduate Students4,508Full-Time Students16,236Part-Time Students1,794Race and EthnicityBlack or African American13%Asian6%Hispanic or Latino39%Multiracial2%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown5%White33%International (Non-Citizen)1%Student Primary ResidenceOut-of-State5%"
Alabama State University,https://bigfuture.collegeboard.org/colleges/alabama-state-university,99%,Not available,839–1050*,16–20*,Required,Recommended,Required,Recommended,,Online through college's own websiteCommon Black College Application,28%,44,,64%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Urban,"3,603",,"Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsCoed HousingMen's HousingSpecial Housing For Disabled StudentsSpecial Housing For International StudentsWomen's Housing,Air Force ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperYearbook,"Total Undergrad Students3,603Total Graduate Students458Full-Time Students3,289Part-Time Students325Race and EthnicityBlack or African American93%AsianLess than 1%Hispanic or Latino1%Multiracial1%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White2%International (Non-Citizen)2%Student Primary ResidenceOut-of-State43%"
Fayetteville State University,https://bigfuture.collegeboard.org/colleges/fayetteville-state-university,80%,Not available,830–1040*,Not available*,Required,Recommended,Neither required nor recommended,Considered but not required,,Online through college's own websiteCommon Black College Application,37%,31,,78%,"The college offers the following degrees: Bachelor's, Master's, and Doctoral",Urban,"5,493",,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsCoed HousingMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandMarching BandModel UNMusic EnsemblesPep BandRadio StationStudent GovernmentStudent NewspaperTelevision StationYearbook,"Total Undergrad Students5,493Total Graduate Students1,002Full-Time Students4,058Part-Time Students1,643Race and EthnicityBlack or African American63%Asian1%Hispanic or Latino10%Multiracial6%Native American1%Pacific IslanderLess than 1%Unknown2%White15%International (Non-Citizen)1%Student Primary ResidenceOut-of-State22%"
Divine Word College,https://bigfuture.collegeboard.org/colleges/divine-word-college,100%,Not available,Not available*,Not available*,Recommended,Considered but not required,Recommended,Recommended,,Online through college's own website,100%,3,,100%,The college offers the following degrees: Associate and Bachelor's,Rural,Not available,,Intramural,,Men's Housing,Campus MinistriesFilmMusical Theater,Total Undergrad StudentsNot availableTotal Graduate StudentsNot availableFull-Time StudentsNot availablePart-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-StateNot Reported
Eastern Kentucky University,https://bigfuture.collegeboard.org/colleges/eastern-kentucky-university,98%,Not available,990–1160*,20–26*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,52%,125,,75%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Rural,"11,586",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingMen's HousingSpecial Housing For International StudentsWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterOperaRadio StationStudent NewspaperYearbook,"Total Undergrad Students11,586Total Graduate Students2,318Full-Time Students10,734Part-Time Students1,682Race and EthnicityBlack or African American6%Asian1%Hispanic or Latino4%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White84%International (Non-Citizen)1%Student Primary ResidenceOut-of-State17%"
Suny College Of Technology At Canton,https://bigfuture.collegeboard.org/colleges/suny-college-of-technology-at-canton,96%,Not available,1000–1160*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Application,44%,38,,67%,"The college offers the following degrees: Certificate, Associate, and Bachelor's",Rural,"2,778",,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Single StudentsCoed HousingFraternity/Sorority HousingSpecial Housing For Disabled StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsDanceInternational Student OrganizationMusic EnsemblesNaval ROTCStudent GovernmentYearbook,"Total Undergrad Students2,778Total Graduate StudentsNot availableFull-Time Students2,326Part-Time Students600Race and EthnicityBlack or African American11%Asian3%Hispanic or Latino11%Multiracial4%Native American2%Pacific IslanderLess than 1%Unknown3%White65%International (Non-Citizen)2%Student Primary ResidenceOut-of-State7%"
Towson University,https://bigfuture.collegeboard.org/colleges/towson-university,83%,Not available,1040–1220*,Not available*,Required,Recommended,Considered if submitted,Neither required nor recommended,,Online through college's own websiteCommon Application,72%,79,,83%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Suburban,"16,400",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled Students,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students16,400Total Graduate Students3,010Full-Time Students14,516Part-Time Students1,969Race and EthnicityBlack or African American33%Asian7%Hispanic or Latino11%Multiracial6%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White41%International (Non-Citizen)1%Student Primary ResidenceOut-of-State9%"
Commonwealth University Of Pennsylvania Mansfield,https://bigfuture.collegeboard.org/colleges/commonwealth-university-of-pennsylvania-mansfield,93%,Not available,970–1150*,Not available*,Required,Required,Required for some,Considered but not required,,Online through college's own website,54%,35,,66%,"The college offers the following degrees: Associate, Bachelor's, Master's, and Certificate",Rural,"1,335",,"Club, Intercollegiate, Intramural and NCAA Division II",,Coed HousingFraternity/Sorority Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students1,335Total Graduate Students14Full-Time Students1,252Part-Time Students525Race and EthnicityBlack or African American7%Asian1%Hispanic or Latino5%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown3%White80%International (Non-Citizen)1%Student Primary ResidenceOut-of-State24%"
Delta State University,https://bigfuture.collegeboard.org/colleges/delta-state-university,99%,Not available,950–1190*,Not available*,Required,Required,Required,Neither required nor recommended,,,44%,43,,73%,"The college offers the following degrees: Certificate, Bachelor's, Master's, and Doctoral",Rural,"1,613",,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Married StudentsApartments For Single StudentsMen's HousingWomen's Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationMarching BandMusic EnsemblesOperaPep BandRadio StationStudent GovernmentStudent Newspaper,"Total Undergrad Students1,613Total Graduate Students752Full-Time Students1,407Part-Time Students557Race and EthnicityBlack or African American36%Asian1%Hispanic or Latino3%Multiracial2%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White52%International (Non-Citizen)5%Student Primary ResidenceOut-of-State36%"
University Of North Carolina At Greensboro,https://bigfuture.collegeboard.org/colleges/university-of-north-carolina-at-greensboro,90%,Not available,1095–1260*,Not available*,Required,Considered but not required,Considered if submitted,Considered but not required,,Common ApplicationOnline through college's own websiteOther,58%,90,,76%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Urban,"13,848",,"Club, Intercollegiate and Intramural",,Apartments For Single StudentsCoed HousingFraternity/Sorority HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students13,848Total Graduate Students3,587Full-Time Students11,641Part-Time Students2,396Race and EthnicityBlack or African American31%Asian6%Hispanic or Latino17%Multiracial5%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White39%International (Non-Citizen)1%Student Primary ResidenceOut-of-State6%"
Texas Am University Kingsville,https://bigfuture.collegeboard.org/colleges/texas-am-university-kingsville,92%,Not available,900–1120*,Not available*,Required,Recommended,Considered if submitted,Considered but not required,,,43%,64,,67%,"The college offers the following degrees: Bachelor's, Master's, and Doctoral",Rural,"4,622",,"Club, Intercollegiate, Intramural and NCAA Division II",,Coed HousingLiving Learning CommunitiesMen's HousingTheme HousingWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesOperaRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students4,622Total Graduate Students1,375Full-Time Students4,048Part-Time Students1,112Race and EthnicityBlack or African American4%Asian1%Hispanic or Latino76%Multiracial1%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White15%International (Non-Citizen)2%Student Primary ResidenceOut-of-StateLess than 1%"
Texas Southern University,https://bigfuture.collegeboard.org/colleges/texas-southern-university,93%,Not available,820–1000*,Not available*,Required,Required,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Application,23%,61,,57%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Urban,"6,619",,"Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Single StudentsCoed HousingMen's HousingWomen's Housing,Army ROTCChoral GroupsConcert BandDrama/TheaterJazz BandMarching BandMusic EnsemblesMusical TheaterOperaRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision StationYearbook,"Total Undergrad Students6,619Total Graduate Students1,850Full-Time Students5,729Part-Time Students890Race and EthnicityBlack or African American86%Asian1%Hispanic or Latino7%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%UnknownLess than 1%White1%International (Non-Citizen)1%Student Primary ResidenceOut-of-State20%"
Southwestern Baptist Theological Seminary,https://bigfuture.collegeboard.org/colleges/southwestern-baptist-theological-seminary,100%,Not available,1000–1240*,Not available*,Considered but not required,Neither required nor recommended,Not available,Recommended,,Online through college's own website,29%,17,,72%,"The college offers the following degrees: Certificate, Bachelor's, Master's, and Doctoral",Urban,Not available,,Intramural,,Apartments For Married StudentsApartments For Single StudentsMen's HousingSpecial Housing For Disabled StudentsWomen's Housing,Campus MinistriesChoral GroupsFilmLiterary MagazineSymphony Orchestra,Total Undergrad StudentsNot availableTotal Graduate StudentsNot availableFull-Time Students374Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-StateNot Reported
University Of Hawaii West Oahu,https://bigfuture.collegeboard.org/colleges/university-of-hawaii-west-oahu,96%,Not available,970–1220*,Not available*,Required,Neither required nor recommended,Required for some,Considered but not required,,Online through college's own website,37%,22,,69%,The college offers the following degrees: Certificate and Bachelor's,Suburban,"2,510",,Club and Intramural,,,Air Force ROTCArmy ROTCConcert BandNaval ROTCStudent GovernmentStudent Newspaper,"Total Undergrad Students2,510Total Graduate StudentsNot availableFull-Time Students1,432Part-Time Students1,427Race and EthnicityBlack or African American2%Asian37%Hispanic or Latino1%Multiracial16%Native AmericanLess than 1%Pacific Islander32%UnknownLess than 1%White11%International (Non-Citizen)1%Student Primary ResidenceOut-of-State1%"
Colorado State University Pueblo,https://bigfuture.collegeboard.org/colleges/colorado-state-university-pueblo,100%,Not available,940–1130*,Not available*,Required,Recommended,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Application,39%,43,,65%,"The college offers the following degrees: Bachelor's, Master's, Doctoral, and Certificate",Suburban,"3,028",,"Club, Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingSpecial Housing For Disabled Students,Army ROTCChoral GroupsConcert BandInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesPep BandRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students3,028Total Graduate Students1,467Full-Time Students2,445Part-Time Students2,251Race and EthnicityBlack or African American6%Asian2%Hispanic or Latino36%Multiracial9%Native American1%Pacific IslanderLess than 1%Unknown2%White42%International (Non-Citizen)2%Student Primary ResidenceOut-of-State8%"
Virginia State University,https://bigfuture.collegeboard.org/colleges/virginia-state-university,96%,Not available,830–1040*,Not available*,Required,Neither required nor recommended,Required,Recommended,,Online through college's own websiteCommon Black College Application,48%,39,,76%,"The college offers the following degrees: Associate, Bachelor's, Certificate, Master's, and Doctoral",Suburban,Not available,,"Intercollegiate, Intramural and NCAA Division II",,Apartments For Single StudentsCoed HousingMen's HousingWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmJazz BandLiterary MagazineMusic EnsemblesMusical TheaterOperaStudent GovernmentStudent NewspaperYearbook,"Total Undergrad StudentsNot availableTotal Graduate Students419Full-Time Students4,022Part-Time StudentsNot availableRace and EthnicityBlack or African AmericanNot ReportedAsianNot ReportedHispanic or LatinoNot ReportedMultiracialNot ReportedNative AmericanNot ReportedPacific IslanderNot ReportedUnknownNot ReportedWhiteNot ReportedInternational (Non-Citizen)Not ReportedStudent Primary ResidenceOut-of-State38%"
Murray State University,https://bigfuture.collegeboard.org/colleges/murray-state-university,86%,Not available,960–1200*,Not available*,Required,Required,Required for some,Neither required nor recommended,,,56%,84,,76%,"The college offers the following degrees: Certificate, Associate, Bachelor's, Master's, and Doctoral",Rural,"6,847",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed HousingFraternity/Sorority HousingSpecial Housing For Disabled StudentsWellness Housing (alcohol/drug/smoke-free)Women's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students6,847Total Graduate Students1,746Full-Time Students6,072Part-Time Students1,996Race and EthnicityBlack or African American6%Asian1%Hispanic or Latino3%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown4%White77%International (Non-Citizen)6%Student Primary ResidenceOut-of-State38%"
Bridgewater State University,https://bigfuture.collegeboard.org/colleges/bridgewater-state-university,89%,Not available,1010–1200*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,Online through college's own websiteCommon Application,62%,62,,67%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Suburban,"7,899",,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Single StudentsCoed HousingGender Neutral HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsSpecial Housing For International StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesDanceDrama/TheaterMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperTelevision Station,"Total Undergrad Students7,899Total Graduate Students1,378Full-Time Students6,546Part-Time Students1,586Race and EthnicityBlack or African American11%Asian2%Hispanic or Latino10%Multiracial7%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White69%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State9%"
Louisiana State University In Shreveport,https://bigfuture.collegeboard.org/colleges/louisiana-state-university-in-shreveport,83%,Not available,870–1070*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,38%,29,,62%,"The college offers the following degrees: Bachelor's, Master's, Certificate, and Doctoral",Urban,"2,150",,"Club, Intercollegiate and Intramural",,Apartments For Single Students,Campus MinistriesDanceDrama/TheaterInternational Student OrganizationLiterary MagazineRadio StationStudent GovernmentStudent Newspaper,"Total Undergrad Students2,150Total Graduate Students7,188Full-Time Students1,598Part-Time Students949Race and EthnicityBlack or African American25%Asian2%Hispanic or Latino1%Multiracial6%Native American1%Pacific IslanderLess than 1%Unknown5%White57%International (Non-Citizen)4%Student Primary ResidenceOut-of-State3%"
Southern Illinois University Edwardsville,https://bigfuture.collegeboard.org/colleges/southern-illinois-university-edwardsville,98%,May 1,940–1160*,19–26*,Required,Considered but not required,Considered if submitted,Neither required nor recommended,,Online through college's own website,49%,61,,71%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Suburban,"9,283",,"Club, Intercollegiate, Intramural and NCAA Division I",,Apartments For Married StudentsApartments For Single StudentsCoed HousingGender Neutral HousingSpecial Housing For Disabled Students,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandMarching BandMusic EnsemblesMusical TheaterPep BandRadio StationStudent GovernmentStudent NewspaperSymphony Orchestra,"Total Undergrad Students9,283Total Graduate Students3,198Full-Time Students7,693Part-Time Students1,612Race and EthnicityBlack or African American14%Asian2%Hispanic or Latino6%Multiracial4%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White69%International (Non-Citizen)2%Student Primary ResidenceOut-of-State17%"
Nicholls State University,https://bigfuture.collegeboard.org/colleges/nicholls-state-university,97%,Not available,1038–1228*,Not available*,Required,Neither required nor recommended,Required,Neither required nor recommended,,Online through college's own website,49%,46,,70%,"The college offers the following degrees: Associate, Bachelor's, Certificate, and Master's",Rural,"5,194",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IAA",,Apartments For Married StudentsApartments For Single StudentsCoed Housing,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMarching BandMusic EnsemblesPep BandRadio StationStudent GovernmentStudent NewspaperTelevision StationYearbook,"Total Undergrad Students5,194Total Graduate Students660Full-Time Students4,575Part-Time Students997Race and EthnicityBlack or African American17%Asian1%Hispanic or Latino5%Multiracial2%Native American2%Pacific IslanderLess than 1%Unknown1%White68%International (Non-Citizen)2%Student Primary ResidenceOut-of-State5%"
Appalachian State University,https://bigfuture.collegeboard.org/colleges/appalachian-state-university,89%,Not available,1130–1300*,Not available*,Required,Required,Required for some,Neither required nor recommended,,,73%,89,,85%,"The college offers the following degrees: Bachelor's, Certificate, Master's, and Doctoral",Rural,"19,304",,"Club, Intercollegiate, Intramural, NCAA Division I and NCAA Division IA",,Apartments For Single StudentsCoed HousingLiving Learning CommunitiesSpecial Housing For Disabled StudentsTheme HousingWomen's Housing,Army ROTCCampus MinistriesChoral GroupsConcert BandDanceDrama/TheaterFilmInternational Student OrganizationJazz BandLiterary MagazineMarching BandModel UNMusic EnsemblesMusical TheaterOperaPep BandRadio StationStudent GovernmentStudent NewspaperSymphony OrchestraTelevision Station,"Total Undergrad Students19,304Total Graduate Students1,848Full-Time Students18,607Part-Time Students734Race and EthnicityBlack or African American3%Asian2%Hispanic or Latino9%Multiracial5%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown1%White81%International (Non-Citizen)Less than 1%Student Primary ResidenceOut-of-State13%"
Worcester State University,https://bigfuture.collegeboard.org/colleges/worcester-state-university,90%,Not available,1030–1193*,Not available*,Required,Neither required nor recommended,Considered if submitted,Considered but not required,,Common ApplicationOnline through college's own websiteOther,61%,47,,77%,"The college offers the following degrees: Bachelor's, Certificate, and Master's",Urban,"3,963",,"Club, Intercollegiate, Intramural and NCAA Division III",,Apartments For Single StudentsCoed HousingSpecial Housing For Disabled StudentsTheme Housing,Air Force ROTCArmy ROTCCampus MinistriesChoral GroupsDanceDrama/TheaterInternational Student OrganizationLiterary MagazineModel UNNaval ROTCRadio StationStudent Government,"Total Undergrad Students3,963Total Graduate Students877Full-Time Students3,354Part-Time Students1,375Race and EthnicityBlack or African American9%Asian6%Hispanic or Latino18%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White61%International (Non-Citizen)2%Student Primary ResidenceOut-of-State6%"
Highland Community College Freeport Il,https://bigfuture.collegeboard.org/colleges/highland-community-college-freeport-il,100%,Not available,880–1080*,19–27*,Not available,Not available,Not available,Not available,,Online through college's own website,Not available,38,,64%,The college offers the following degrees: Certificate and Associate,Rural,791,,Intercollegiate and Intramural,,,Campus MinistriesChoral GroupsConcert BandDanceDrama/TheaterInternational Student OrganizationJazz BandLiterary MagazineMusic EnsemblesMusical TheaterPep BandStudent Government,Total Undergrad Students791Total Graduate StudentsNot availableFull-Time Students461Part-Time Students662Race and EthnicityBlack or African American12%Asian1%Hispanic or Latino6%Multiracial3%Native AmericanLess than 1%Pacific IslanderLess than 1%Unknown2%White73%International (Non-Citizen)2%Student Primary ResidenceOut-of-State2%
